sample_idx,predicted_class,original_prediction,baseline_prediction,r2_mean,method,deletion_auc,insertion_auc,gap_auc,n_positive_segments
19,1,1.0,0.0084176491945981,-0.575153558842154,Relevancia absoluta,0.8458217483841711,0.9862189143896104,0.1403971660054391,
19,1,1.0,0.0084176491945981,-0.575153558842154,Solo secciones positivas,0.4077183799636822,0.9708357909146476,0.5631174109509655,17.0
20,1,0.9863600134849548,0.0084176491945981,-0.5084525875987527,Relevancia a secas,0.2022808566325503,0.9551855226357778,0.7529046660032275,
20,1,0.9863600134849548,0.0084176491945981,-0.5084525875987527,Relevancia absoluta,0.2407428505596303,0.5335298183684548,0.2927869678088245,
20,1,0.9863600134849548,0.0084176491945981,-0.5084525875987527,Solo secciones positivas,0.1921849681484272,0.9676007453133078,0.7754157771648805,17.0
21,1,0.9994807839393616,0.0084176491945981,-0.2512021723846743,Relevancia a secas,0.0763925952693488,0.9824608547819984,0.9060682595126496,
21,1,0.9994807839393616,0.0084176491945981,-0.2512021723846743,Relevancia absoluta,0.5498517932945917,0.94803034596973,0.3981785526751382,
21,1,0.9994807839393616,0.0084176491945981,-0.2512021723846743,Solo secciones positivas,0.0268342236155459,0.9719439368498952,0.9451097132343492,19.0
22,0,0.0248359758406877,0.0084176491945981,-1.002664957236722,Relevancia a secas,0.620130127399332,0.3650517672825419,-0.2550783601167901,
22,0,0.0248359758406877,0.0084176491945981,-1.002664957236722,Relevancia absoluta,0.4697781784020158,0.7195815507050913,0.2498033723030755,
22,0,0.0248359758406877,0.0084176491945981,-1.002664957236722,Solo secciones positivas,0.8518510271648043,0.013702048696072,-0.8381489784687323,19.0
23,1,0.9999997615814208,0.0084176491945981,-0.1498302547129824,Relevancia a secas,0.1281339064449341,0.957958980748016,0.8298250743030818,
23,1,0.9999997615814208,0.0084176491945981,-0.1498302547129824,Relevancia absoluta,0.2903015823359454,0.8739126069833422,0.5836110246473967,
23,1,0.9999997615814208,0.0084176491945981,-0.1498302547129824,Solo secciones positivas,0.0251486425360723,0.9318068125285208,0.9066581699924484,22.0
24,1,0.9999998807907104,0.0084176491945981,-0.4404619718142981,Relevancia a secas,0.4112135817367805,0.9861844496594536,0.574970867922673,
24,1,0.9999998807907104,0.0084176491945981,-0.4404619718142981,Relevancia absoluta,0.5420025519108296,0.6528503588875462,0.1108478069767165,
24,1,0.9999998807907104,0.0084176491945981,-0.4404619718142981,Solo secciones positivas,0.0505715059616816,0.9751320123672484,0.9245605064055668,20.0
25,0,0.0074139195494353,0.0084176491945981,0.1710522011601031,Relevancia a secas,0.0093567575612622,0.0070702072181221,-0.0022865503431401,
25,0,0.0074139195494353,0.0084176491945981,0.1710522011601031,Relevancia absoluta,0.0084985845799868,0.0076725015468481,-0.0008260830331386,
25,0,0.0074139195494353,0.0084176491945981,0.1710522011601031,Solo secciones positivas,0.0104130311784419,0.0064748167060315,-0.0039382144724103,11.0
26,1,0.999923825263977,0.0084176491945981,-0.6003769639742492,Relevancia a secas,0.242516014280688,0.9521162004934416,0.7096001862127537,
26,1,0.999923825263977,0.0084176491945981,-0.6003769639742492,Relevancia absoluta,0.4748409468872726,0.2982000212280411,-0.1766409256592314,
26,1,0.999923825263977,0.0084176491945981,-0.6003769639742492,Solo secciones positivas,0.0305899004818364,0.8994880520245608,0.8688981515427243,17.0
27,0,0.0724024027585983,0.0084176491945981,-0.3764181627075945,Relevancia a secas,0.9461941125078336,0.4993141533315719,-0.4468799591762615,
27,0,0.0724024027585983,0.0084176491945981,-0.3764181627075945,Relevancia absoluta,0.8579651062480278,0.5424441038113501,-0.3155210024366777,
27,0,0.0724024027585983,0.0084176491945981,-0.3764181627075945,Solo secciones positivas,0.9212976545095444,0.0263265219672931,-0.8949711325422512,18.0
