sample_idx,original_prediction,baseline_prediction,predicted_class,r2_mean,r2_std,deletion_auc_abs,insertion_auc_abs,gap_auc_abs,deletion_auc_positive_first,insertion_auc_positive_first,gap_auc_positive_first,n_segments,n_positive_segments,error
28,1.0,0.0084176491945981,1,-1.4941579548733468,0.7665394909439881,0.8739553140605696,0.9336519406901466,0.0596966266295769,0.6480768384456359,0.9855491518974304,0.3374723134517945,36,16,
29,0.0130052650347352,0.0084176491945981,0,-4.162588787868553,3.48254979259425,0.0106445342858528,0.0198410883830446,0.0091965540971917,0.0631901679868557,0.0138982991791433,-0.0492918688077123,36,15,
30,0.0088047478348016,0.0084176491945981,0,-1.064778262851382,2.351704378027026,0.0100494264883713,0.0093307523315565,-0.0007186741568148,0.023828535573557,0.0098665689713218,-0.0139619666022352,36,13,
31,0.0075724488124251,0.0084176491945981,0,0.2328741435677153,0.0718071867720443,0.0083597228463206,0.0080460647919348,-0.0003136580543858,0.0097943766840866,0.0074539101283465,-0.0023404665557401,35,8,
32,0.0076857996173202,0.0084176491945981,0,0.3206975189407519,0.1047119669539953,0.0076666523754182,0.0087808493214348,0.0011141969460166,0.0085236941231414,0.0079559244525929,-0.0005677696705485,36,7,
33,0.009448992088437,0.0084176491945981,0,-0.0730473248536087,0.931331747975451,0.0096899935576532,0.0097036801677729,1.3686610119682807e-05,0.1236879755875893,0.006042897475085,-0.1176450781125043,35,17,
34,0.008784526027739,0.0084176491945981,0,0.007578024026449,0.1292635191529401,0.0086586632403648,0.0091952956022901,0.0005366323619253,0.0095298917343219,0.008937118626717,-0.0005927731076048,36,8,
35,0.0081287138164043,0.0084176491945981,0,-0.0747023883897659,0.1082175686262481,0.0083980195405375,0.0081813341627518,-0.0002166853777857,0.0083980195405375,0.0081813341627518,-0.0002166853777857,36,0,
36,0.919595181941986,0.0084176491945981,1,-1.2773175339059455,0.4895169758267106,0.8048405847310075,0.9535703222370808,0.1487297375060734,0.3762508457548011,0.9776173796918656,0.6013665339370645,36,17,
37,1.0,0.0084176491945981,1,-1.2153418462962933,0.8933945767319116,0.8202051870110975,0.5141246921858021,-0.3060804948252953,0.1239655434355851,0.8195612040391103,0.6955956606035251,36,21,
38,0.0095390183851122,0.0084176491945981,0,-1.1082951566740349,0.4235085080471032,0.4232776279670816,0.6159988556367656,0.1927212276696839,0.7022172988185452,0.3098478958815526,-0.3923694029369926,36,16,
39,0.7744925618171692,0.0084176491945981,1,-0.6913775051381429,0.4869762675085037,0.0249400937940027,0.4028816127748643,0.3779415189808615,0.0240539777435867,0.586437977142244,0.5623839993986572,36,19,
40,0.0122842686250805,0.0084176491945981,0,-0.848740322590289,0.4460542652551899,0.5256325116950191,0.5349376337964916,0.0093051221014724,0.5579774883549867,0.1408483993857064,-0.4171290889692803,36,20,
41,0.0842032060027122,0.0084176491945981,0,-0.8637774098164368,0.5883010757034458,0.4189525377721069,0.4933689833204779,0.074416445548371,0.5259326252788822,0.1481646637656674,-0.3777679615132148,36,15,
42,1.0,0.0084176491945981,1,-0.8833569824224199,0.2997505191938737,0.287364333364379,0.8835807780689922,0.5962164447046131,0.0701293390688666,0.9029122564792892,0.8327829174104224,36,23,
43,1.0,0.0084176491945981,1,-0.6379040099724461,0.2943091646242088,0.3563029040537159,0.7362269170116633,0.3799240129579474,0.1516803594132773,0.9063491056740128,0.7546687462607355,36,19,
44,1.0,0.0084176491945981,1,-0.9715655749234342,0.6225583974219062,0.9306131974929788,0.790775195074275,-0.1398380024187039,0.5963610548452323,0.9833606580893198,0.3869996032440875,36,16,
45,1.0,0.0084176491945981,1,-0.6103245422797456,0.4927067135345664,0.3242062809689564,0.8537530018899513,0.529546720920995,0.0332094111731368,0.9310205595878264,0.8978111484146896,36,22,
46,0.2508697211742401,0.0084176491945981,0,-0.5100074277867455,0.3150432387436478,0.2113010994572606,0.3098012996423575,0.0985002001850968,0.5137198622234994,0.2457373764960849,-0.2679824857274144,36,14,
47,0.0079506812617182,0.0084176491945981,0,0.2574786082363731,0.2452727607710274,0.0084516273944505,0.0084604594590408,8.832064590283059e-06,0.0090471242687531,0.0079566715152135,-0.0010904527535395,35,9,
48,0.9999998807907104,0.0084176491945981,1,-0.8777111710197187,0.2058419097370572,0.5906239839315313,0.5306898362178061,-0.0599341477137251,0.125114067403527,0.9584502435754984,0.8333361761719714,36,18,
